Identificador comptador/Identificador contador/Meter identifier,Tecnologia/TecnologoTechnology,�/Uso/Use,Tipus habitatge/Tipo vivienda/Housing type,Dietre/Dietro/Diameter,Data/Fecha/Date,ndex lectura/ndice lectura/Reading index
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 2:00,999859
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 3:00,999862
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 4:00,999862
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 5:00,999862
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 6:00,999862
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 7:00,999867
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 8:00,999867
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 9:00,999905
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 10:00,999924
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 11:00,1000065
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 12:00,1000075
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 13:00,1000075
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 14:00,1000075
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 15:00,1000075
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 16:00,1000075
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 17:00,1000102
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 18:00,1000138
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 19:00,1000174
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 20:00,1000174
9c0276bdbfb281af5263c50c8e57bda04c5c7a682461cbde28307243a778bc91,R,DOMESTIC,B,15,06/01/2023 21:00,1000187
